name,sex,title_year,federation,flag
"Gritsak, Orest",M,2001,Ukraine,ua
"Gutman, Gennadi",M,2001,Ukraine,ua
"Harikrishna, Pentala",M,2001,India,in
"Høi, Carsten",M,2001,Denmark,dk
"Iljushin, Alexei",M,2001,Russia,ru
"Jacimović, Dragoljub",M,2001,North Macedonia,mk
"Jakovenko, Dmitry",M,2001,Russia,ru
"Jobava, Baadur",M,2001,Georgia,ge
"Kalinin, Alexander",M,2001,Russia,ru
"Kallio, Heikki",M,2001,Finland,fi
"Kazakov, Mikhail",M,2001,Ukraine,ua
"Kosyrev, Vladimir",M,2001,Russia,ru
"Kulaots, Kaido",M,2001,Estonia,ee
"Lunev, Andrey",M,2001,Russia,ru
"Mirzoev, Azer",M,2001,Azerbaijan,az
"Muše, Mladen",M,2001,Germany,de
"Naiditsch, Arkadij",M,2001,Germany,de
"Nedev, Trajko",M,2001,North Macedonia,mk
Nguyễn Anh Dũng,M,2001,Vietnam,vn
"Nikitin, Andrey",M,2001,Russia,ru
"Ortega, Lexy",M,2001,Italy,it
"Parker, Jonathan F.",M,2001,England,gb-eng
"Pelletier, Yannick",M,2001,Switzerland,ch
"Potkin, Vladimir",M,2001,Russia,ru
"Prokopchuk, Evgeny",M,2001,Russia,ru
"Radjabov, Teimour",M,2001,Azerbaijan,az
"Riazantsev, Alexander",M,2001,Russia,ru
"Schmaltz, Roland",M,2001,Germany,de
"Shalnev, Nikolai",M,2001,Russia,ru
"Slipak, Sergio",M,2001,Argentina,ar
"Tyomkin, Dimitri",M,2001,Canada,ca
"Vajda, Levente",M,2001,Romania,ro
"Volokitin, Andrei",M,2001,Ukraine,ua
"Vučković, Bojan",M,2001,Yugoslavia (S&M),rs
"Vysochin, Spartak",M,2001,Ukraine,ua
"Yegiazarian, Arsen",M,2001,Armenia,am
Zhang Pengxiang,M,2001,China,cn
Zhu Chen,F,2001,China,cn
"Šolak, Dragan",M,2001,Yugoslavia (S&M),rs
"Žaja, Ivan",M,2001,Croatia,hr
"Aghamaliyev, Cemil",M,2002,Azerbaijan,az
"Alekseev, Evgeny",M,2002,Russia,ru
"Amonatov, Farrukh",M,2002,Tajikistan,tj
"Areshchenko, Alexander",M,2002,Ukraine,ua
"Bagirov, Rufat",M,2002,Azerbaijan,az
"Belkhodja, Slim",M,2002,Tunisia,tn
"Belozerov, Andrei",M,2002,Russia,ru
"Berkes, Ferenc",M,2002,Hungary,hu
"Del Río De Angelis, Salvador Gabriel",M,2002,Spain,es
"Delgado Ramírez, Neuris",M,2002,Cuba,cu
"Efimenko, Zahar",M,2002,Ukraine,ua
"Fedorchuk, Sergey A.",M,2002,Ukraine,ua
"Felgaer, Rubén",M,2002,Argentina,ar
"Fontaine, Robert",M,2002,France,fr
"Gagunashvili, Merab",M,2002,Georgia,ge
"Galego, Luís",M,2002,Portugal,pt
"Gashimov, Vugar",M,2002,Azerbaijan,az
"Gazarian, Aram",M,2002,Russia,ru
"Genov, Petar",M,2002,Bulgaria,bg
"Grabarczyk, Mirosław",M,2002,Poland,pl
"Grigore, George-Gabriel",M,2002,Romania,ro
"Guseinov, Gadir",M,2002,Azerbaijan,az
"Halkias, Stelios",M,2002,Greece,gr
"Horváth, Ádám",M,2002,Hungary,hu
"Ibragimov, Alibek",M,2002,Kazakhstan,kz
"Inarkiev, Ernesto",M,2002,Russia,ru
"Izoria, Zviad",M,2002,Georgia,ge
"Jakubiec, Artur",M,2002,Poland,pl
"Janev, Evgeni",M,2002,Bulgaria,bg
"Jenni, Florian",M,2002,Switzerland,ch
"Johannessen, Leif Erlend",M,2002,Norway,no
"Jonkman, Harmen",M,2002,Netherlands,nl
"Koneru, Humpy",F,2002,India,in
"Kovchan, Alexander",M,2002,Ukraine,ua
Li Shilong,M,2002,China,cn
"Mamedyarov, Shakhriyar",M,2002,Azerbaijan,az
"Marcelin, Cyril",M,2002,France,fr
"Matamoros Franco, Carlos S.",M,2002,Ecuador,ec
"Mchedlishvili, Mikheil",M,2002,Georgia,ge
"Medvegy, Zoltán",M,2002,Hungary,hu
"Miroshnichenko, Evgenij",M,2002,Ukraine,ua
"Mitoń, Kamil",M,2002,Poland,pl
"Navara, David",M,2002,Czech Republic,cz
"Oratovsky, Michael",M,2002,Israel,il
"Petkevich, Jusefs",M,2002,Latvia,lv
"Pikula, Dejan",M,2002,Yugoslavia (S&M),rs
"Postny, Evgeny",M,2002,Israel,il
"Pârligras, Mircea-Emilian",M,2002,Romania,ro
"Rabiega, Robert",M,2002,Germany,de
"Rahman, Ziaur",M,2002,Bangladesh,bd
"Sargissian, Gabriel",M,2002,Armenia,am
"Shomoev, Anton",M,2002,Russia,ru
"Stefanova, Antoaneta",F,2002,Bulgaria,bg
"Stević, Hrvoje",M,2002,Croatia,hr
"Svetushkin, Dmitry",M,2002,Moldova,md
"Tahirov, Farhad",M,2002,Azerbaijan,az
"Tishin, Petr",M,2002,Russia,ru
"Tunik, Gennady",M,2002,Russia,ru
"Turner, Matthew J.",M,2002,England,gb-eng
"Zubarev, Alexander",M,2002,Ukraine,ua
"Azarov, Sergei",M,2003,Belarus,by
"Bagheri, Amir",M,2003,Iran,ir
"Barus, Cerdas",M,2003,Indonesia,id
"Belov, Vladimir",M,2003,Russia,ru
"Bistrić, Faruk",M,2003,Bosnia and Herzegovina,ba
"Bocharov, Dmitry",M,2003,Russia,ru
"Bunzmann, Dimitrij",M,2003,Germany,de
Cao Sang,M,2003,Hungary,hu
"Chanda, Sandipan",M,2003,India,in
"Cyborowski, Łukasz",M,2003,Poland,pl
"Czebe, Attila",M,2003,Hungary,hu
"Döttling, Fabian",M,2003,Germany,de
"Erenburg, Sergey",M,2003,Israel,il
"Fernandes, António",M,2003,Portugal,pt
"Fogarasi, Tibor",M,2003,Hungary,hu
"Galdunts, Sergey",M,2003,Armenia,am
"Ganguly, Surya Shekhar",M,2003,India,in
"Grigoriants, Sergey",M,2003,Russia,ru
"Gustafsson, Jan",M,2003,Germany,de
"Handke, Florian",M,2003,Germany,de
"Hasangatin, Ramil",M,2003,Russia,ru
"Jirovský, Miloš",M,2003,Czech Republic,cz
"Karjakin, Sergey",M,2003,Ukraine,ua
"Kayumov, Dmitry D.",M,2003,Uzbekistan,uz
"Korobov, Anton",M,2003,Ukraine,ua
"Kritz, Leonid",M,2003,Germany,de
"Kurnosov, Igor",M,2003,Russia,ru
"Malinin, Vasily B.",M,2003,Russia,ru
"Mastrovasilis, Dimitrios",M,2003,Greece,gr
"Miśta, Aleksander",M,2003,Poland,pl
"Moreno Carnero, Javier",M,2003,Spain,es
"Nakamura, Hikaru",M,2003,United States,us
"Narciso Dublan, Marc",M,2003,Spain,es
"Nevostrujev, Vladimir",M,2003,Russia,ru
Ni Hua,M,2003,China,cn
"Novik, Maxim",M,2003,Russia,ru
"Nybäck, Tomi",M,2003,Finland,fi
"Ostenstad, Berge",M,2003,Norway,no
Ramesh R. B.,M,2003,India,in
"Roiz, Michael",M,2003,Israel,il
"Savić, Miodrag R.",M,2003,Serbia and Montenegro,rs
"Sedlak, Nikola",M,2003,Serbia and Montenegro,rs
"Seres, Lajos",M,2003,Hungary,hu
"Smirnov, Pavel",M,2003,Russia,ru
"Stanec, Nikolaus",M,2003,Austria,at
"Timofeev, Artyom",M,2003,Russia,ru
"Volosin, Leon",M,2003,Czech Republic,cz
"Vul, Arkadi Eremeevich",M,2003,Russia,ru
"Yagupov, Igor",M,2003,Russia,ru
"Yevseev, Denis",M,2003,Russia,ru
"Zemgalis, Elmārs",M,2003,Latvia,lv
"Akobian, Varuzhan",M,2004,Armenia,am
"Arizmendi Martínez, Julen Luís",M,2004,Spain,es
"Bakre, Tejas",M,2004,India,in
"Balogh, Csaba",M,2004,Hungary,hu
"Baramidze, David",M,2004,Germany,de
"Berg, Emanuel",M,2004,Sweden,se
"Blagojević, Dragiša",M,2004,Serbia and Montenegro,rs
"Bluvshtein, Mark",M,2004,Canada,ca
"Borges Mateos, Juan",M,2004,Cuba,cu
"Cabrera, Alexis",M,2004,Colombia,co
"Carlsen, Magnus",M,2004,Norway,no
"Cheparinov, Ivan",M,2004,Bulgaria,bg
"Cherniaev, Alexander",M,2004,Russia,ru
"De La Paz Perdomo, Frank",M,2004,Cuba,cu
"De La Riva Aguado, Oscar",M,2004,Andorra,ad
"Dobrov, Vladimir",M,2004,Russia,ru
"Drozdovskij, Yuri",M,2004,Ukraine,ua
"Dyachkov, Sergej",M,2004,Russia,ru
"Gareyev, Timur",M,2004,Uzbekistan,uz
"Gomez Esteban, Juan Mario",M,2004,Spain,es
"Gonzalez Zamora, Juan Carlos",M,2004,Mexico,mx
"Hellsten, Johan",M,2004,Sweden,se
"Jeremić, Veljko",M,2004,Serbia and Montenegro,rs
"Kalod, Radek",M,2004,Czech Republic,cz
"Khismatullin, Denis",M,2004,Russia,ru
"Kim, Alexey",M,2004,Russia,ru
"Kornev, Alexei",M,2004,Russia,ru
"Kosteniuk, Alexandra",F,2004,Russia,ru
"Kreiman, Boris",M,2004,United States,us
Liang Chong,M,2004,China,cn
"Liutsko, Igor",M,2004,Belarus,by
"Mamedov, Rauf",M,2004,Azerbaijan,az
"Mariano, Nelson",M,2004,Philippines,ph
"Markuš, Robert",M,2004,Serbia and Montenegro,rs
"Megaranto, Susanto",M,2004,Indonesia,id
"Meijers, Viesturs",M,2004,Latvia,lv
"Minasian, Ara",M,2004,Armenia,am
"Nalbandian, Tigran",M,2004,Armenia,am
"Novikov, Stanislav",M,2004,Russia,ru
"Odeev, Handszar",M,2004,Turkmenistan,tm
Peng Zhaoqin,F,2004,Netherlands,nl
"Peralta, Fernando",M,2004,Argentina,ar
"Pert, Nicholas",M,2004,England,gb-eng
"Perunović, Miloš",M,2004,Serbia and Montenegro,rs
"Petrosian, Tigran L.",M,2004,Armenia,am
"Potapov, Alexander",M,2004,Russia,ru
"Prusikin, Michael",M,2004,Germany,de
"Radulski, Julian",M,2004,Bulgaria,bg
"Ramírez, Alejandro",M,2004,Costa Rica,cr
"Schebler, Gerhard",M,2004,Germany,de
"Shabanov, Yuri",M,2004,Russia,ru
"Shaposhnikov, Evgeny",M,2004,Russia,ru
"Smeets, Jan",M,2004,Netherlands,nl
"Stanojoski, Zvonko",M,2004,North Macedonia,mk
"Stellwagen, Daniël",M,2004,Netherlands,nl
"Taleb, Moussa",M,2004,United Arab Emirates,ae
"Van der Weide, Karel",M,2004,Netherlands,nl
"Vásquez Schroeder, Rodrigo",M,2004,Chile,cl
Wang Yue,M,2004,China,cn
Yu Shaoteng,M,2004,China,cn
"Adly, Ahmed",M,2005,Egypt,eg
"Andreev, Eduard",M,2005,Ukraine,ua
"Annageldyev, Orazly",M,2005,Turkmenistan,tm
"Bartel, Mateusz",M,2005,Poland,pl
"Bobras, Piotr",M,2005,Poland,pl
"Bricard, Emmanuel",M,2005,France,fr
"Campos Moreno, Javier B.",M,2005,Chile,cl
"Djukić, Nikola",M,2005,Serbia and Montenegro,rs
"Evdokimov, Alexander A.",M,2005,Russia,ru
"Gormally, Daniel W.",M,2005,England,gb-eng
"Guliyev, Namig",M,2005,Azerbaijan,az
"Ibrahimov, Rasul",M,2005,Azerbaijan,az
"Ibrayev, Nurlan",M,2005,Kazakhstan,kz
"Ivanov, Igor Vasilyevich",M,2005,Canada,ca
"Kostić, Vladimir G.",M,2005,Serbia and Montenegro,rs
"Kuzubov, Yuriy",M,2005,Ukraine,ua
"L'Ami, Erwin",M,2005,Netherlands,nl
"Leventić, Ivan",M,2005,Croatia,hr
"Lie, Kjetil A.",M,2005,Norway,no
"Likavský, Tomáš",M,2005,Slovakia,sk
"Mastrovasilis, Athanasios",M,2005,Greece,gr
"Moradiabadi, Elshan",M,2005,Iran,ir
"Mrva, Martin",M,2005,Slovakia,sk
"Naumann, Alexander",M,2005,Germany,de
"Nesterov, Yakov",M,2005,Kazakhstan,kz
Nguyễn Ngọc Trường Sơn,M,2005,Vietnam,vn
"Novikov, Maxim",M,2005,Russia,ru
"Obukhov, Alexander",M,2005,Russia,ru
"Oleksiyenko, Mykhaylo",M,2005,Ukraine,ua
"Ovetchkin, Roman",M,2005,Russia,ru
"Palo, Davor",M,2005,Denmark,dk
"Pantsulaia, Levan",M,2005,Georgia,ge
"Paragua, Mark",M,2005,Philippines,ph
"Pilavov, Georgy",M,2005,Ukraine,ua
"Predojević, Borki",M,2005,Bosnia and Herzegovina,ba
"Quesada Pérez, Yuniesky",M,2005,Cuba,cu
"Raetsky, Alexander",M,2005,Russia,ru
"Rogovski, Vladimir",M,2005,Ukraine,ua
"Shengelia, David",M,2005,Georgia,ge
"Shvyrjov, Igor",M,2005,Estonia,ee
"Tomashevsky, Evgeny",M,2005,Russia,ru
"Vachier-Lagrave, Maxime",M,2005,France,fr
"Vorotnikov, Vladislav V.",M,2005,Russia,ru
Wang Hao,M,2005,China,cn
"Wojtaszek, Radosław",M,2005,Poland,pl
Zhao Jun,M,2005,China,cn
"Ziatdinov, Raset",M,2005,United States,us
"Almeida Quintana, Omar",M,2006,Cuba,cu
"Amin, Bassem",M,2006,Egypt,eg
"Andriasian, Zaven",M,2006,Armenia,am
"Aroshidze, Levan",M,2006,Georgia,ge
"Arutinian, David",M,2006,Georgia,ge
"Aveskulov, Valeriy",M,2006,Ukraine,ua
"Charbonneau, Pascal",M,2006,Canada,ca
"Czarnota, Paweł",M,2006,Poland,pl
Deepan Chakkravarthy J.,M,2006,India,in
"Dzhakaev, Dzhakay",M,2006,Russia,ru
"Gajewski, Grzegorz",M,2006,Poland,pl
"Ginsburg, Gennadi",M,2006,Germany,de
"González García, José",M,2006,Mexico,mx
"Gutov, Andrey",M,2006,Russia,ru
"Heberla, Bartłomiej",M,2006,Poland,pl
"Horváth, Péter",M,2006,Hungary,hu
"Janković, Alojzije",M,2006,Croatia,hr
"Jedynak, Radosław",M,2006,Poland,pl
"Jovanović, Zoran",M,2006,Croatia,hr
"Kanep, Meelis",M,2006,Estonia,ee
"Khachiyan, Melikset",M,2006,United States,us
"Khamrakulov, Ibragim S.",M,2006,Spain,es
"Kharitonov, Alexandr",M,2006,Russia,ru
"Kostenko, Petr",M,2006,Kazakhstan,kz
"Kotanjian, Tigran",M,2006,Armenia,am
"Krivoshey, Sergei",M,2006,Ukraine,ua
"Kryvoruchko, Yuriy",M,2006,Ukraine,ua
"Kunin, Vitaly",M,2006,Germany,de
"Laznicka, Viktor",M,2006,Czechoslovakia,cz
"Lupulescu, Constantin",M,2006,Romania,ro
Lê Quang Liêm,M,2006,Vietnam,vn
"Mamedov, Nidjat",M,2006,Azerbaijan,az
"Maník, Mikuláš",M,2006,Slovakia,sk
"Murariu, Andrei",M,2006,Romania,ro
"Neelotpal, Das",M,2006,India,in
"Negi, Parimarjan",M,2006,India,in
"Panchanathan, Magesh Chandran",M,2006,India,in
"Perelshteyn, Eugene",M,2006,United States,us
"Reefat, Bin-Sattar",M,2006,Bangladesh,bd
"Rogić, Davor",M,2006,Croatia,hr
"Rychagov, Andrey",M,2006,Russia,ru
"Sambuev, Bator",M,2006,Russia,ru
"Shanava, Konstantine",M,2006,Georgia,ge
"Shaw, John",M,2006,Scotland,gb-sct
"Sumets, Andrey",M,2006,Ukraine,ua
"Sănduleac, Vasile",M,2006,Moldova,md
"Tihonov, Jurij",M,2006,Belarus,by
"Todorov, Todor",M,2006,Bulgaria,bg
"Tratar, Marko",M,2006,Slovenia,si
"Visser, Yge",M,2006,Netherlands,nl
"Werle, Jan",M,2006,Netherlands,nl
"Zhigalko, Andrey",M,2006,Belarus,by
Zhou Jianchao,M,2006,China,cn
"Zinchenko, Yaroslav",M,2006,Ukraine,ua
"Aagaard, Jacob",M,2007,Denmark,dk
"Abbasov, Farid",M,2007,Azerbaijan,az
"Ajrapetjan, Yuriy",M,2007,Ukraine,ua
"Andreikin, Dmitry",M,2007,Russia,ru
"Babaev, Rashad",M,2007,Azerbaijan,az
"Bachmann, Axel",M,2007,Paraguay,py
"Berescu, Alin-Mile",M,2007,Romania,ro
"Bindrich, Falko",M,2007,Germany,de
"Brkić, Ante",M,2007,Croatia,hr
"Buhmann, Rainer",M,2007,Germany,de
"Butnorius, Algimantas",M,2007,Lithuania,lt
"Carlsson, Pontus",M,2007,Sweden,se
"Caruana, Fabiano",M,2007,Italy,it
"Cvek, Robert",M,2007,Czech Republic,cz
"Dziuba, Marcin",M,2007,Poland,pl
"Erdős, Viktor",M,2007,Hungary,hu
"Ernst, Sipke",M,2007,Netherlands,nl
"Feller, Sébastien",M,2007,France,fr
"Ferčec, Nenad",M,2007,Croatia,hr
"Fier, Alexandr",M,2007,Brazil,br
"Fish, Gennadij",M,2007,Germany,de
"Frolyanov, Dmitry",M,2007,Russia,ru
"Gasanov, Eldar",M,2007,Ukraine,ua
Gopal G. N.,M,2007,India,in
"Grachev, Boris",M,2007,Russia,ru
"Haslinger, Stewart G.",M,2007,England,gb-eng
"Hernández Carmenate, Holden",M,2007,Cuba,cu
"Howell, David W. L.",M,2007,England,gb-eng
Hoàng Thanh Trang,F,2007,Hungary,hu
"Héra, Imre Jr.",M,2007,Hungary,hu
"Iljin, Artem",M,2007,Russia,ru
"Jianu, Vlad-Cristian",M,2007,Romania,ro
"Jovanić, Ognjen",M,2007,Croatia,hr
"Kasparov, Sergey",M,2007,Belarus,by
"Khairullin, Ildar",M,2007,Russia,ru
"Khruschiov, Alexey",M,2007,Moldova,md
"Kiselev, Vitalii",M,2007,Russia,ru
"Kokarev, Dmitry",M,2007,Russia,ru
"Kononenko, Dmitry",M,2007,Ukraine,ua
"Kraai, Jesse",M,2007,United States,us
"Krapivin, Alexander",M,2007,Russia,ru
"Lagno, Kateryna",F,2007,Ukraine,ua
"Lajthajm, Borko",M,2007,Serbia,rs
"Laylo, Darwin",M,2007,Philippines,ph
"Lenič, Luka",M,2007,Slovenia,si
Li Chao,M,2007,China,cn
"Lysyj, Igor",M,2007,Russia,ru
"López Martínez, Josep Manuel",M,2007,Spain,es
"Mahjoob Zardast, Morteza",M,2007,Iran,ir
"Maletin, Pavel",M,2007,Russia,ru
"Manolache, Marius",M,2007,Romania,ro
"Markoš, Ján",M,2007,Slovakia,sk
"Maroroa Jones, Gawain C. B.",M,2007,England,gb-eng
"Matjushin, Gennady",M,2007,Ukraine,ua
"Mayorau, Mikita",M,2007,Belarus,by
"Mazé, Sébastien",M,2007,France,fr
"Meier, Georg",M,2007,Germany,de
"Mollah Abdullah, Al Rakib",M,2007,Bangladesh,bd
"Nepomniachtchi, Ian",M,2007,Russia,ru
"Oms Pallise, Josep",M,2007,Andorra,ad
"Panarin, Mikhail",M,2007,Russia,ru
"Pashikian, Arman",M,2007,Armenia,am
"Paunović, Dragan",M,2007,Serbia,rs
"Petkov, Vladimir",M,2007,Bulgaria,bg
"Polzin, Rainer",M,2007,Germany,de
"Popov, Ivan",M,2007,Russia,ru
"Popović, Dušan",M,2007,Serbia,rs
"Rakhmanov, Aleksandr",M,2007,Russia,ru
"Rizouk, Aimen",M,2007,Algeria,dz
"Rodríguez Guerrero, Enrique",M,2007,Spain,es
"Rodshtein, Maxim",M,2007,Israel,il
"Romanov, Evgeny",M,2007,Russia,ru
"Savchenko, Boris",M,2007,Russia,ru
"Sergeev, Vladimir",M,2007,Ukraine,ua
"Shishkin, Vadim",M,2007,Ukraine,ua
"Skatchkov, Pavel",M,2007,Russia,ru
"Skorchenko, Dmitriy",M,2007,Russia,ru
"Solodovnichenko, Yuri",M,2007,Ukraine,ua
"Steingrímsson, Héðinn",M,2007,Iceland,is
"Stojanović, Mihajlo",M,2007,Serbia,rs
"Teterev, Vitaly",M,2007,Belarus,by
"Tukhaev, Adam",M,2007,Ukraine,ua
"Velička, Petr",M,2007,Czech Republic,cz
"Vitiugov, Nikita",M,2007,Russia,ru
"Vázquez Igarza, Renier",M,2007,Spain,es
Xu Yuhua,F,2007,China,cn
"Zakhartsov, Viacheslav V.",M,2007,Russia,ru
"Zambrana, Osvaldo",M,2007,Bolivia,bo
"Zhigalko, Sergei",M,2007,Belarus,by
"Øgaard, Leif",M,2007,Norway,no
"Šarić, Ante",M,2007,Croatia,hr
"Šarić, Ibro",M,2007,Bosnia and Herzegovina,ba
"Abergel, Thal",M,2008,France,fr
"Abreu Delgado, Aryam",M,2008,Cuba,cu
"Appel, Ralf",M,2008,Germany,de
"Arun Prasad, S.",M,2008,India,in
"Askarov, Marat",M,2008,Russia,ru
"Bhat, Vinay",M,2008,United States,us
"Bogosavljević, Boban",M,2008,Serbia,rs
"Bojkov, Dejan",M,2008,Bulgaria,bg
"Bosiočić, Marin",M,2008,Croatia,hr
"Braun, Arik",M,2008,Germany,de
"Bryzgalin, Kirill",M,2008,Russia,ru
"Bérczes, Dávid",M,2008,Hungary,hu
"Bùi, Vinh",M,2008,Vietnam,vn
"Chuprov, Dmitry",M,2008,Russia,ru
"Cornette, Matthieu",M,2008,France,fr
"Córdova, Emilio",M,2008,Peru,pe
"Deviatkin, Andrei",M,2008,Russia,ru
"Dzagnidze, Nana",F,2008,Georgia,ge
"El Gindy, Essam",M,2008,Egypt,eg
"Filippov, Anton",M,2008,Uzbekistan,uz
"Flores, Diego",M,2008,Argentina,ar
"Friedel, Joshua",M,2008,United States,us
"Ghane, Shojaat",M,2008,Iran,ir
"Gonzáles, Jayson",M,2008,Philippines,ph
"González, Renier",M,2008,United States,us
"Grigoryan, Avetik",M,2008,Armenia,am
"Gupta, Abhijeet",M,2008,India,in
"Holzke, Frank",M,2008,Germany,de
"Hossain, Enamul",M,2008,Bangladesh,bd
Hou Yifan,F,2008,China,cn
"Iotov, Valentin",M,2008,Bulgaria,bg
"Ismagambetov, Anuar",M,2008,Kazakhstan,kz
"Iturrizaga Bonelli, Eduardo",M,2008,Venezuela,ve
"Ivanov, Alexander A.",M,2008,Russia,ru
"Kaufman, Lawrence",M,2008,United States,us
"Kislinsky, Alexey",M,2008,Ukraine,ua
"Kovalyov, Anton",M,2008,Argentina,ar
"Lafuente, Pablo",M,2008,Argentina,ar
"León Hoyos, Manuel",M,2008,Mexico,mx
"Llanes Hurtado, Miguel",M,2008,Spain,es
"Markosian, David S.",M,2008,Armenia,am
"Maslak, Konstantin",M,2008,Russia,ru
"Mateo, Ramón",M,2008,Dominican Republic,do
"Maximov, Dmitry",M,2008,Ukraine,ua
"Meister, Jakob",M,2008,Germany,de
"Melkumyan, Hrant",M,2008,Armenia,am
"Milanović, Danilo",M,2008,Serbia,rs
"Mirumian, Vigen",M,2008,Czech Republic,cz
"Nikolenko, Oleg",M,2008,Russia,ru
"Orlov, Andrey",M,2008,Russia,ru
"Petřík, Tomáš",M,2008,Slovakia,sk
"Pérez Rodriguez, Luís Manuel",M,2008,Cuba,cu
"Ragger, Markus",M,2008,Austria,at
"Rusev, Krasimir",M,2008,Bulgaria,bg
"Safarli, Eltaj",M,2008,Azerbaijan,az
"Salgado López, Iván",M,2008,Spain,es
"Sanikidze, Tornike",M,2008,Georgia,ge
"Sebag, Marie",F,2008,France,fr
"Siebrecht, Sebastian",M,2008,Germany,de
"Simantsev, Mikhail",M,2008,Ukraine,ua
"Sjugirov, Sanan",M,2008,Russia,ru
"Smirnov, Igor",M,2008,Ukraine,ua
"So, Wesley",M,2008,Philippines,ph
"Soćko, Monika",F,2008,Poland,pl
"Trajković, Predrag",M,2008,Serbia,rs
"Vokarev, Sergey",M,2008,Russia,ru
"Vovk, Yuri",M,2008,Ukraine,ua
Wen Yang,M,2008,China,cn
"Williams, Simon K.",M,2008,England,gb-eng
Zhao Xue,F,2008,China,cn
Zhao Zong-Yuan,M,2008,Australia,au
"Šarić, Ivan",M,2008,Croatia,hr
"Al-Sayed, Mohamad",M,2009,Qatar,qa
"Alonso, Salvador",M,2009,Argentina,ar
"Amanov, Mesgen",M,2009,Turkmenistan,tm
"Arakhamia-Grant, Ketevan",F,2009,Scotland,gb-sct
"Arzumanian, Georgii",M,2009,Armenia,am
"Bogner, Sebastian",M,2009,Germany,de
"Borišek, Jure",M,2009,Slovenia,si
"Boros, Dénes",M,2009,Hungary,hu
"Brenjo, Slaviša",M,2009,Serbia,rs
"Castañeda, Georgui",M,2009,Peru,pe
"Chibukhchian, Artur",M,2009,Armenia,am
"Chirilă, Ioan-Cristian",M,2009,Romania,ro
"Corrales Jimenez, Fidel",M,2009,Cuba,cu
"Cuartas, Jaime Alexander",M,2009,Colombia,co
"Diamant, André",M,2009,Brazil,br
Ding Liren,M,2009,China,cn
"Eryomenko, Volodymyr",M,2009,Ukraine,ua
"Fargère, François",M,2009,France,fr
"Finegold, Benjamin",M,2009,United States,us
"Flores Ríos, Mauricio",M,2009,Chile,cl
"Gabrielian, Artur",M,2009,Russia,ru
"Gharamian, Tigran",M,2009,France,fr
"Giri, Anish",M,2009,Netherlands,nl
"González Vidal, Yuri",M,2009,Cuba,cu
"Gordon, Stephen J.",M,2009,England,gb-eng
"Gómez, John Paul",M,2009,Philippines,ph
"Hammer, Jon Ludvig",M,2009,Norway,no
"Harutjunyan, Gevorg",M,2009,Armenia,am
"Haznedaroğlu, Kıvanç",M,2009,Turkey,tr
"Herraiz Hidálgo, Herminio",M,2009,Spain,es
"Hess, Robert",M,2009,United States,us
"Hoffmann, Michael",M,2009,Germany,de
"Jakubowski, Krzysztof",M,2009,Poland,pl
"Jojua, Davit",M,2009,Georgia,ge
"Jumabayev, Rinat",M,2009,Kazakhstan,kz
"Kabanov, Nikolai",M,2009,Russia,ru
"Khusnutdinov, Rustam",M,2009,Kazakhstan,kz
"Klimov, Sergey",M,2009,Russia,ru
"Kosintseva, Tatiana",F,2009,Russia,ru
"Kravtsiv, Martyn",M,2009,Ukraine,ua
"Kryakvin, Dmitry",M,2009,Russia,ru
"Laxman, R. R.",M,2009,India,in
"Lemos, Damián",M,2009,Argentina,ar
"Libiszewski, Fabien",M,2009,France,fr
"Lintchevski, Daniil",M,2009,Russia,ru
"Martinez Duany, Lelys Stanley",M,2009,Cuba,cu
"Moranda, Wojciech",M,2009,Poland,pl
"Muratović, Alija",M,2009,Serbia,rs
"Olszewski, Michał",M,2009,Poland,pl
"Papadopoulos, Ioannis K.",M,2009,Greece,gr
"Petrosian, Davit G.",M,2009,Armenia,am
"Rasmussen, Allan Stig",M,2009,Denmark,dk
"Saleh, Salem A. R.",M,2009,United Arab Emirates,ae
"Shimanov, Aleksandr",M,2009,Russia,ru
"Shkuro, Iuri",M,2009,Ukraine,ua
"Simonian, Hrair",M,2009,Armenia,am
"Simutowe, Amon",M,2009,Zambia,zm
"Smerdon, David C.",M,2009,Australia,au
"Spoelman, Wouter",M,2009,Netherlands,nl
Sundararajan Kidambi,M,2009,India,in
"Swinkels, Robin",M,2009,Netherlands,nl
"Sánchez, Joseph",M,2009,Philippines,ph
"Ter-Sahakyan, Samvel",M,2009,Armenia,am
"Vakhidov, Tair",M,2009,Uzbekistan,uz
"Valerga, Diego",M,2009,Argentina,ar
"Vasilev, Milen",M,2009,Bulgaria,bg
"Vocaturo, Daniele",M,2009,Italy,it
"Vovk, Andriy",M,2009,Ukraine,ua
Wang Rui,M,2009,China,cn
Yu Yangyi,M,2009,China,cn
"Yudin, Sergei",M,2009,Russia,ru
"Zherebukh, Yaroslav",M,2009,Ukraine,ua
Zhou Weiqi,M,2009,China,cn
"Édouard, Romain",M,2009,France,fr
"Świercz, Dariusz",M,2009,Poland,pl
Adhiban B.,M,2010,India,in
"Alavkin, Arseny",M,2010,Russia,ru
"Alsina Leal, Daniel",M,2010,Spain,es
"Alvarez Pedraza, Aramis",M,2010,Cuba,cu
"Antoniewski, Rafał",M,2010,Poland,pl
"Babujian, Levon",M,2010,Armenia,am
"Barcenilla, Rogelio",M,2010,Philippines,ph
"Brunello, Sabino",M,2010,Italy,it
"Bykhovsky, Anatoly",M,2010,Israel,il
